,id,category,sub category,product,price,unit,weight,calories
0,410,Baby and child,Baby food,AH Biologisch Knijpfruit appel banaan aardbei 6+ mnd,0.89,"90 gPrijs per KG € 9,89",90 Gram,51.0
1,451,Baby and child,Baby food,Organix Knijpfruit appel aardbei quinoa 12+m,1.25,"100 gPrijs per KG € 12,50",100 Gram,47.0
2,468,Baby and child,Baby food,Organix Knijpfruit haver appel banaan 12+m,1.29,"100 gPrijs per KG € 12,90",100 Gram,62.0
3,430,Baby and child,Baby food,AH Biologisch Ontbijtpap meergranen 12+m,1.49,"200 gPrijs per KG € 7,45",200 Gram,350.0
4,472,Baby and child,Baby food,Nestlé Pyjamapapje biscuit 6m+,2.99,"3 x 250 mlPrijs per LT € 3,99",3 Stuks (piece). 750 Milliliter,89.0
5,448,Baby and child,Baby food,Ella's Kitchen Bananen + kokos 4+ bio,1.95,"120 gPrijs per KG € 16,25",120 Gram,99.0
6,422,Baby and child,Baby food,Olvarit Spaghetti bolognese 15+m,1.69,"250 gPrijs per KG € 6,76",250 Gram,81.0
7,479,Baby and child,Baby food,Nestlé Baby cereals biscuit 6+ mnd,2.69,"250 gPrijs per KG € 10,76",250 Gram,430.0
8,443,Baby and child,Baby food,AH Biologisch Spaghetti bolognese 15m08,1.39,"250 gPrijs per KG € 5,56",250 Gram,74.0
9,473,Baby and child,Baby food,Alpro Sojadrink groeidrink 1-3+,2.49,"1 lPrijs per LT € 2,49",1 Liter,64.0
10,446,Baby and child,Baby food,Olvarit Spaghetti tomaat ham 18 mnd,1.69,"250 gPrijs per KG € 6,76",250 Gram,74.0
11,435,Baby and child,Baby food,"Ella's Kitchen Peren, doperwten + broccoli 4+ bio",1.99,"120 gPrijs per KG € 16,58",120 Gram,57.0
12,455,Baby and child,Baby food,Dixap Appel,3.59,"500 mlPrijs per LT € 7,18",500 Milliliter,348.0
13,406,Baby and child,Baby food,Olvarit Spinazie kip aardappel 12+ mnd,1.69,"250 gPrijs per KG € 6,76",250 Gram,76.0
14,438,Baby and child,Baby food,Olvarit Pompoen kip aardappel 15+ mnd,1.69,"250 gPrijs per KG € 6,76",250 Gram,63.0
15,471,Baby and child,Baby food,Nutrilon Opvolgmelk 2,16.99,"800 gPrijs per KG € 21,24",800 Gram,68.0
16,405,Baby and child,Baby food,Sore Baby maisfingers banaan,1.75,"35 gPrijs per KG € 50,00",35 Gram,385.0
17,452,Baby and child,Baby food,"Ella's Kitchen Zoete aardappel, pompoen + bosbes 4+ bio",1.99,"120 gPrijs per KG € 16,58",120 Gram,52.0
18,460,Baby and child,Baby food,AH Biologisch Diksap appel,5.39,"750 mlPrijs per LT € 7,19",750 Milliliter,24.0
19,469,Baby and child,Baby food,AH Vruchtenmix,1.79,"0,75 lPrijs per LT € 2,39",750 Milliliter,38.0
20,407,Baby and child,Baby food,Bolletje Dreumesbiscuit 12 mnd,1.49,"150 gPrijs per KG € 9,93",150 Gram,424.0
21,432,Baby and child,Baby food,Organix Veggie groente sticks 7 mnd,0.99,"15 gPrijs per KG € 66,00",15 Gram,410.0
22,426,Baby and child,Baby food,AH Biologisch Knijpfruit appel wortel 6+ mnd,0.89,"90 gPrijs per KG € 9,89",90 Gram,56.0
23,423,Baby and child,Baby food,Ella's Kitchen Aardbeien yoghurt 6+ bio,1.49,"90 gPrijs per KG € 16,56",90 Gram,88.0
24,478,Baby and child,Baby food,Roosvicee Vruchten mix siroop,1.99,"500 mlPrijs per LT € 3,98",0.5 Liter,230.0
25,456,Baby and child,Baby food,AH Biologisch Knijpfruit&gr mango zoete aardap 6mnd,0.95,"90 gPrijs per KG € 10,56",90 Gram,86.0
26,477,Baby and child,Baby food,Gerber Organic Plant-tastic groenteschotel 8+ mnd,1.95,"190 gPrijs per KG € 10,26",190 Gram,62.0
27,408,Baby and child,Baby food,Ella's Kitchen Baby bananen ontbijtje 6+ bio,1.99,"100 gPrijs per KG € 19,90",100 Gram,96.0
28,465,Baby and child,Baby food,De Kleine Keuken Biologische rozijntjes,3.19,"140 gPrijs per KG € 22,79",140 Gram,326.0
29,480,Baby and child,Baby food,Sore Baby Maisfingers Naturel,1.79,"35 gPrijs per KG € 51,14",35 Gram,385.0
30,442,Baby and child,Baby food,Ella's Kitchen Fruit smoothie the red one 6+ bio,1.19,"90 gPrijs per KG € 13,22",90 Gram,59.0
31,433,Baby and child,Baby food,Olvarit Knijpfruit banana kiwi strawberry 12+,1.9,"100 gPrijs per KG € 10,90",100 Gram,58.0
32,414,Baby and child,Baby food,"Ella's Kitchen Wortels, appels + pastinaak 4+ bio",1.95,"120 gPrijs per KG € 16,25",120 Gram,45.0
33,467,Baby and child,Baby food,Nutrilon Volledige zuigelingenvoeding 1,16.99,"800 gPrijs per KG € 21,24",800 Gram,66.0
34,447,Baby and child,Baby food,Ella's Kitchen Maize sticks wortels + maïs 7+ bio,1.89,"17 GramPrijs per KG € 118,13",16 Gram,414.0
35,464,Baby and child,Baby food,Organix Knijpfruit haver abrikoos banaan 12+m,1.29,"100 gPrijs per KG € 12,90",100 Gram,60.0
36,434,Baby and child,Baby food,Olvarit Bonen appel rundvlees aardappel 15+ mnd,1.69,"250 gPrijs per KG € 6,76",250 Gram,84.0
37,425,Baby and child,Baby food,Liga Kinder biscuits vanaf 12-36 mnd,1.99,"175 gNormale prijs per KG € 11,37",175 Gram,404.0
38,417,Baby and child,Baby food,AH Biologisch Bloemkool met zoete aardappel 6m07,0.99,"190 gPrijs per KG € 5,21",190 Gram,55.0
39,3447,"Meat, chicken, fish, vega",Meat,AH Rundersoepballetjes,2.99,"ca. 250 gPrijs per KG € 11,96",250 Gram,253.0
40,3385,"Meat, chicken, fish, vega",Meat,AH Varkenshaas,7.44,"2 stuksPrijs per KG € 15,50",450 Gram,103.0
41,3427,"Meat, chicken, fish, vega",Meat,AH Gelderse rookworst,1.35,"250 gPrijs per KG € 5,40",250 Gram,291.0
42,3396,"Meat, chicken, fish, vega",Meat,AH Veluwse rookworst fijn,2.99,"280 gNormale prijs per KG € 12,46",280 Gram,375.0
43,3415,"Meat, chicken, fish, vega",Meat,AH Braadworst,1.99,2 stuks,200 Gram,257.0
44,3387,"Meat, chicken, fish, vega",Meat,AH Rundergehakt,9.49,"1000 gPrijs per KG € 9,49",1 Kilogram,228.0
45,3381,"Meat, chicken, fish, vega",Meat,AH Shoarma,4.69,"500 gPrijs per KG € 9,38",500 Gram,158.0
