,purchase id,product id,time
0,0,1445,101
1,0,792,132
2,0,1312,157
3,0,3257,80
4,0,935,88
5,0,1258,74
6,0,2987,160
7,0,1430,135
8,1,2714,41
9,1,1512,13
10,1,3447,15
11,1,3285,6
12,1,2331,29
13,1,3510,11
14,1,906,13
15,1,3786,11
16,1,1109,15
17,2,3469,91
18,2,2537,113
19,2,1098,147
20,2,1425,161
21,2,3495,127
22,2,3440,71
23,2,959,90
24,2,2303,90
25,2,3010,193
26,2,2019,128
27,2,3679,120
28,2,2262,66
29,2,2162,196
30,2,880,175
31,2,2102,175
32,2,3209,85
33,3,1934,81
34,3,2030,16
35,3,112,71
36,3,766,75
37,4,1858,43
38,4,2041,36
39,5,884,54
40,5,2433,86
41,5,111,102
42,5,2021,135
43,6,1200,9
44,6,2829,49
45,6,1612,22
46,7,2888,150
47,7,2204,82
48,7,1042,184
49,7,2979,181
50,7,469,153
51,7,1855,184
52,7,2026,133
53,7,3547,139
54,7,1392,123
55,7,859,130
56,7,1235,156
57,7,2152,162
58,7,2044,31
59,8,894,41
60,8,2324,88
61,8,3533,39
62,8,2157,153
63,8,3651,131
64,8,899,41
65,8,2290,88
66,8,3477,39
67,8,447,49
68,8,442,23
69,8,2399,88
70,8,432,88
71,9,2856,85
72,9,3216,59
73,9,1211,45
74,9,1224,13
75,9,3230,45
76,9,880,49
77,9,916,13
78,9,2086,96
79,10,3136,35
80,10,1240,44
81,10,700,43
82,10,3403,21
83,11,2577,60
84,11,2008,76
85,11,1351,103
86,11,2322,67
87,11,861,126
88,11,3210,52
89,11,3385,15
90,12,3497,87
91,12,3571,22
92,12,479,47
93,12,3462,47
94,12,2117,150
95,12,2072,22
96,12,962,167
97,12,2083,167
98,12,3599,127
99,12,3065,124
100,12,1112,179
101,12,3094,179
102,12,2262,185
103,13,2644,144
104,13,769,173
105,13,1403,125
106,13,771,125
107,13,1422,125
108,14,1568,69
109,14,2282,111
110,15,2697,81
111,15,146,73
112,15,3762,33
113,15,885,22
114,15,130,46
115,15,3205,17
